,var,SomerceD
0,dst_bytes,0.799056792201396
0,src_bytes,0.7973242182395899
0,flag_SF,0.7443119473653095
0,diff_srv_rate,0.6894707449288324
0,logged_in_1,0.6766291055101503
0,dst_host_diff_srv_rate,0.6533561447574447
0,count,0.6416065928420052
0,serror_rate,0.6124089915261084
0,flag_S0,0.5831280368144618
0,service_http,0.5259699878133197
0,last_flag,0.5257887822353082
0,dst_host_count,0.4135716632606192
0,service_private,0.34139588668476883
0,srv_diff_host_rate,0.27319307901154044
0,rerror_rate,0.17330094572814825
0,protocol_type_udp,0.140993003538322
0,service_domain_u,0.13399754483331505
0,flag_REJ,0.10566931654014633
0,service_smtp,0.09953371781006615
0,service_eco_i,0.06236221448211787
0,service_ecr_i,0.04641958387426559
0,service_ftp_data,0.041998155309602936
0,protocol_type_tcp,0.0413453034085538
0,flag_RSTR,0.03663462297656439
0,flag_RSTO,0.019654305264778404
0,wrong_fragment_3,0.015077605321507814
0,service_Z39_50,0.014702370799931863
0,service_uucp,0.013303769401330268
0,service_finger,0.012749554331693114
0,service_courier,0.012519188128944148
0,service_bgp,0.012109841378133979
0,service_whois,0.011819887429643572
0,service_uucp_path,0.011751662971175136
0,service_iso_tsap,0.011717550741940919
0,service_imap4,0.010939589091954582
0,service_telnet,0.01087552139974024
0,service_nnsp,0.010745352208766823
0,service_vmnet,0.01052362271874463
0,num_compromised,0.01006524730001046
0,service_ctf,0.009602592529421639
0,service_csnet_ns,0.009295582466314123
0,service_supdup,0.009278526351697014
0,service_discard,0.009176189663994583
0,service_http_443,0.009039740747057934
0,service_daytime,0.008886235715503954
0,service_urp_i,0.008843726372670613
0,service_gopher,0.008835067371652627
0,service_auth,0.008758846988821345
0,service_other,0.008734809067077576
0,service_time,0.008729866638568451
0,service_domain,0.008492513056620021
0,service_efs,0.008272215589288923
0,service_systat,0.008135766672352052
0,service_link,0.008101654443117834
0,service_exec,0.008084598328500725
0,service_hostnames,0.007845812723861645
0,service_name,0.007692307692307665
0,is_guest_login_1,0.007608057952676717
0,service_mtp,0.0074876343169025805
0,service_echo,0.007402353743817258
0,service_klogin,0.007385297629200149
0,service_login,0.007317073170731714
0,service_ldap,0.006993006993007089
0,service_netbios_dgm,0.006907726419921545
0,service_sunrpc,0.006498379669111376
0,service_netbios_ssn,0.0061743134913867515
0,service_netstat,0.006140201262152534
0,service_netbios_ns,0.00591847177213034
0,hot,0.005323398719394801
0,flag_S1,0.0052924716895523805
0,service_ssh,0.00514492320374349
0,service_kshell,0.0050997782705100025
0,service_nntp,0.005048609926658676
0,flag_SH,0.0045583956843626705
0,service_sql_net,0.0041787480811872335
0,wrong_fragment_1,0.0035135596111204315
0,service_ntp_u,0.0024947284012948323
0,flag_RSTOS0,0.0017567798055604378
0,flag_S2,0.0016306503673135797
0,root_shell_1,0.0014885959452139996
0,service_rje,0.001466825857069809
0,service_pop_3,0.001431643789871817
0,service_pop_2,0.00133037694013316
0,service_remote_job,0.00133037694013316
0,service_printer,0.0011768719085791801
0,service_shell,0.0009810246963737335
0,service_X11,0.0008925847580520951
0,su_attempted_2,0.0008761248552167089
0,service_ftp,0.0006270030556689843
0,flag_S3,0.0006000063633071484
0,num_shells_1,0.0004641536581522221
0,su_attempted_1,0.00027993536172754574
0,land_1,0.00020306304638695316
0,service_urh_i,0.0001484957381723273
0,num_failed_logins_2,0.00013364616435507237
0,service_red_i,0.00011879659053781744
0,num_failed_logins_1,0.00011474012159262692
0,service_pm_dump,8.528057308554438e-05
0,num_failed_logins_3,7.424786908605263e-05
0,service_tftp_u,4.4548721451764806e-05
0,service_harvest,3.411222923421775e-05
0,service_http_8001,3.411222923421775e-05
0,service_aol,3.411222923421775e-05
0,service_tim_i,2.307952523494805e-05
0,num_shells_2,2.146919621659471e-05
0,service_http_2784,1.7056114617108875e-05
0,num_failed_logins_5,1.7056114617108875e-05
0,is_host_login_1,1.4849573817254935e-05
0,urgent_3,1.4849573817254935e-05
0,urgent_2,1.2643033017400995e-05
0,num_failed_logins_4,1.2643033017400995e-05
0,urgent_1,1.0436492217547055e-05
0,duration,-0.08169333117062616
0,srv_count,-0.1177755677305119
0,dst_host_same_src_port_rate,-0.25915750371810486
0,dst_host_srv_diff_host_rate,-0.3636795244051543
